JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456682.60299,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.651,Z,9.213,9.763,,SN 2014J,AAVSO,STD,,,,
2456682.60335,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.649,Z,9.215,9.774,,SN 2014J,AAVSO,STD,,,,
2456682.60371,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.648,Z,9.195,9.750,,SN 2014J,AAVSO,STD,,,,
2456682.60407,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.646,Z,9.214,9.760,,SN 2014J,AAVSO,STD,,,,
2456682.604259,11.127,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.262,9.924,,SN 2014J,AAVSO,STD,,,,
2456682.60426,11.087,0.002,,V,KPK,,ENSEMBLE,133,13198CZR,,0,,Z,,13.266,,SN 2014J,AAVSO,STD,0,,,
2456682.60443,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.645,Z,9.207,9.757,,SN 2014J,AAVSO,STD,,,,
2456682.60480,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.643,Z,9.213,9.755,,SN 2014J,AAVSO,STD,,,,
2456682.60516,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.642,Z,9.213,9.757,,SN 2014J,AAVSO,STD,,,,
2456682.60551,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.640,Z,9.218,9.766,,SN 2014J,AAVSO,STD,,,,
2456682.60587,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.639,Z,9.216,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.60624,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.638,Z,9.210,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.60660,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.636,Z,9.221,9.750,,SN 2014J,AAVSO,STD,,,,
2456682.60696,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.635,Z,9.216,9.754,,SN 2014J,AAVSO,STD,,,,
2456682.607037,11.126,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.216,9.877,,SN 2014J,AAVSO,STD,,,,
2456682.60732,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.633,Z,9.220,9.770,,SN 2014J,AAVSO,STD,,,,
